created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-02-21 21:04:17 UTC,89,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:04:42 UTC,90,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:05:05 UTC,91,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:05:28 UTC,92,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:05:50 UTC,93,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:06:15 UTC,94,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:06:38 UTC,95,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:07:02 UTC,96,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:07:25 UTC,97,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:07:48 UTC,98,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:08:11 UTC,99,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:08:34 UTC,100,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:08:56 UTC,101,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:09:19 UTC,102,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:09:43 UTC,103,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:10:06 UTC,104,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:10:30 UTC,105,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:10:52 UTC,106,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:11:16 UTC,107,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:11:39 UTC,108,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:12:03 UTC,109,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:12:26 UTC,110,1.99148,0.00000,1.98854,0.00000,,,,
2025-02-21 21:12:48 UTC,111,1.99148,0.00000,1.98854,0.00000,,,,
